key,host,payload,mention,pos,tag,dep
clueweb12-0000tw-00-00018,cheapcosthealthinsurance.com,"The unanticipated accomplishment of the Berlin enduring plots the HIV study society; however, whatever faded wish that was produced from it was bootlace with a deep dose of cynicism of great akin operational on a common root.",Berlin,[PROPN],[NNP],[nmod]
clueweb12-0000tw-00-00018,cheapcosthealthinsurance.com,The ordinary CCR5 alteration was the equal one specified to the HIV-infected Berlin Patient in a fillet core remove for leukemia that resulted serendipitously in the tolerant suitable HIV-free as well.,Berlin Patient,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,The United States has a disjointed healthcare organization made of a lot of hush-hush healthcare conveniences that are for the most part have possession of by the classified segment.,The United States,"[DET, PROPN, PROPN]","[DT, NNP, NNP]","[det, compound, nsubj]"
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,This healthcare has lately distorted owing to new legislation but ease of use canister depend on whether a exacting State has passed autism assurance legislation or reporting for administration financed physical condition agenda such as Medicaid.,State,[NOUN],[NN],[nsubj]
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,This healthcare has lately distorted owing to new legislation but ease of use canister depend on whether a exacting State has passed autism assurance legislation or reporting for administration financed physical condition agenda such as Medicaid.,Medicaid,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,The U.S. healthcare Center for illness Control and Prevention (CDC) account that autism and connected healthcare disarrayed,The U.S. healthcare Center for illness Control and Prevention,"[DET, PROPN, NOUN, PROPN, ADP, NOUN, PROPN, CCONJ, PROPN]","[DT, NNP, NN, NNP, IN, NN, NNP, CC, NNP]","[det, compound, conj, nsubj, prep, compound, pobj, cc, conj]"
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,The U.S. healthcare Center for illness Control and Prevention (CDC) account that autism and connected healthcare disarrayed,CDC,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,On standard one in 110 children born in the U.S. has autism.,U.S.,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,Healthcare is consideration by experts that the augments is owing to a wider meaning of the range.,Healthcare,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00019,cheapcosthealthinsurance.com,Healthcare is necessary to obtain a specialist analysis in arrange to right of entry the dissimilar services and treatment that might be obtainable as it is helpful to start a near the beginning interference healthcare agenda.,Healthcare,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00020,cheapcosthealthinsurance.com,"If so, a Healthcare Management connections amount preserve unlock the method to an extremely profitable and pleasing vocation.",Healthcare Management,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00022,cheapcosthealthinsurance.com,healthcare experts.,healthcare,[NOUN],[NN],[compound]
clueweb12-0000tw-00-00022,cheapcosthealthinsurance.com,Mainly jurisdiction need the health care jobs assistant to be approved by the state medicinal board.,the state medicinal board,"[DET, NOUN, PROPN, NOUN]","[DT, NN, NNP, NN]","[det, compound, compound, pobj]"
clueweb12-0000tw-00-00022,cheapcosthealthinsurance.com,But condition such as California does not have such a obligation  ,California,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00023,cheapcosthealthinsurance.com,Indemnity Corporation creates medicine reporting obtainable  at a cost that is so far above the ground that the majority older cannot have enough money it.,Indemnity Corporation,"[PROPN, PROPN]","[NNP, NNP]","[compound, nsubj]"
clueweb12-0000tw-00-00024,cheapcosthealthinsurance.com,Previous to the way of the new Health Bill the United States was expenditure $2.1 trillion a,Health Bill the United States,"[PROPN, PROPN, DET, PROPN, PROPN]","[NNP, NNP, DT, NNP, NNP]","[compound, pobj, det, compound, nsubj]"
clueweb12-0000tw-00-00024,cheapcosthealthinsurance.com,"One of the main problems are that health care problems are a labyrinth of official procedure, you wait two days in the sanatorium and you obtain this invoice that seems similar to the Kansas City Star Sunday Newspaper, if you are covered all we observe is how a great deal you have to disburse and by no means query health care problems some accuses.",the Kansas City Star,"[DET, PROPN, PROPN, PROPN]","[DT, NNP, NNP, NNP]","[det, compound, compound, compound]"
clueweb12-0000tw-00-00025,cheapcosthealthinsurance.com,The consequences of a review performed by The American Association of Retired Persons of September 2008 asked baby boomers if they decided with this declaration:,The American Association of Retired Persons,"[DET, PROPN, PROPN, ADP, PROPN, PROPN]","[DT, NNP, NNP, IN, NNP, NNP]","[det, compound, pobj, prep, compound, pobj]"
clueweb12-0000tw-00-00025,cheapcosthealthinsurance.com,"Clearness performed a investigate health care technology learn that deliberate two collections: Baby Boomers amid the ages of 43  61, with period parents and orders, age 65 advantage and motionless livelihood separately, at house.",Clearness,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00025,cheapcosthealthinsurance.com,"Clearness performed a investigate health care technology learn that deliberate two collections: Baby Boomers amid the ages of 43  61, with period parents and orders, age 65 advantage and motionless livelihood separately, at house.",Baby Boomers,"[PROPN, PROPN]","[NNP, NNP]","[compound, npadvmod]"
clueweb12-0000tw-00-00025,cheapcosthealthinsurance.com,"Clearness performed a investigate health care technology learn that deliberate two collections: Baby Boomers amid the ages of 43  61, with period parents and orders, age 65 advantage and motionless livelihood separately, at house.",house,[NOUN],[NN],[pobj]
clueweb12-0000tw-00-00025,cheapcosthealthinsurance.com,House health care technology is obtainable to timing baby boomers now.,House,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,the end-of-life organization agendas in New Zealand are listening carefully on as long as the most excellent help and action Palliative care obtainable.,New Zealand,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,"Financial support for this Palliative care in New Zealand approaches from a lot of source counting the administration in the form of ACC (Accident Compensation Corporation) or from side to side the MOH (Ministry of Health), there are also confidentially Palliative care salaried and",New Zealand,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,"Financial support for this Palliative care in New Zealand approaches from a lot of source counting the administration in the form of ACC (Accident Compensation Corporation) or from side to side the MOH (Ministry of Health), there are also confidentially Palliative care salaried and",ACC,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,"Financial support for this Palliative care in New Zealand approaches from a lot of source counting the administration in the form of ACC (Accident Compensation Corporation) or from side to side the MOH (Ministry of Health), there are also confidentially Palliative care salaried and",Accident Compensation Corporation,"[PROPN, PROPN, PROPN]","[NNP, NNP, NNP]","[compound, compound, appos]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,"Financial support for this Palliative care in New Zealand approaches from a lot of source counting the administration in the form of ACC (Accident Compensation Corporation) or from side to side the MOH (Ministry of Health), there are also confidentially Palliative care salaried and",MOH (Ministry of Health,"[PROPN, ADP, PROPN]","[NNP, IN, NNP]","[dobj, prep, pobj]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,Two of the country recognized body is The Palliative Care committee and The Palliative Care nurture of New Zealand (PCNNZ).,The Palliative Care committee,"[DET, PROPN, PROPN, NOUN]","[DT, NNP, NNP, NN]","[det, compound, compound, attr]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,Two of the country recognized body is The Palliative Care committee and The Palliative Care nurture of New Zealand (PCNNZ).,The Palliative Care,"[DET, PROPN, PROPN]","[DT, NNP, NNP]","[det, compound, compound]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,Two of the country recognized body is The Palliative Care committee and The Palliative Care nurture of New Zealand (PCNNZ).,New Zealand,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,"The New Zealand Ministry of Health, Manatu Hauora, and Palliative care is the administration sprint organization emotional with administer all fitness mind services within the country.",The New Zealand Ministry of Health,"[DET, PROPN, PROPN, PROPN, ADP, PROPN]","[DT, NNP, NNP, NNP, IN, NNP]","[det, compound, compound, nsubj, prep, pobj]"
clueweb12-0000tw-00-00026,cheapcosthealthinsurance.com,"The New Zealand Ministry of Health, Manatu Hauora, and Palliative care is the administration sprint organization emotional with administer all fitness mind services within the country.",Manatu Hauora,"[PROPN, PROPN]","[NNP, NNP]","[compound, conj]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,With so a lot of option out there for dental covers united healthcare can be over whelming annoying to choose one.,united healthcare,"[PROPN, PROPN]","[NNP, NNP]","[compound, nsubj]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,United healthcare dental cover is measured by a lot of to be at the pinnacle.,United healthcare,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,They have so various clienteles since United healthcare they do have immense client service.,United healthcare,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,"They are careful as being the strongest and mainly dedicated United healthcare firms in the globe, and so you can totally sense certain and tenable when you leave with United HealthCare dental indemnity.",United,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,"They are careful as being the strongest and mainly dedicated United healthcare firms in the globe, and so you can totally sense certain and tenable when you leave with United HealthCare dental indemnity.",United HealthCare,"[PROPN, PROPN]","[NNP, NNP]","[compound, nmod]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,"The United HealthCare dental indemnity present an collection of skin and services, including a wide contribution of client leaning fitness advantages tactics and services and sensible online gear for customers and workers.",United HealthCare,"[PROPN, PROPN]","[NNP, NNP]","[nmod, nmod]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,"With United HealthCare you can observe maintains movement for your entire family, ensure expenses for a exacting process, contrast sanatorium and doctor, arrange your instruction, obtain the newest fitness and wellness cogs, and talk exist with a care for.",United HealthCare,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,"Of route there is lots of other corporation that you are able to go away from commencement to finish for united healthcare dental indemnity, but the United HealthCare association is without a hesitation one of the most excellent.",united healthcare,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,"Of route there is lots of other corporation that you are able to go away from commencement to finish for united healthcare dental indemnity, but the United HealthCare association is without a hesitation one of the most excellent.",United HealthCare,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,you might just be better of going with a dental arrangement quite than United healthcare dental indemnity.,United healthcare,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,United healthcare Dental tactics lean to be additional reasonable and,United healthcare Dental,"[PROPN, NOUN, PROPN]","[NNP, NN, NNP]","[compound, compound, compound]"
clueweb12-0000tw-00-00027,cheapcosthealthinsurance.com,coat extremely lock to what United healthcare dental indemnity would.,United healthcare,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00028,cheapcosthealthinsurance.com,the breast cancer survivor by the name of Charlotte Hayley determined to advertise cards manner peach-colored streamer to endorse consciousness.,Charlotte Hayley,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00028,cheapcosthealthinsurance.com,"The program wedged the attention of beauty corporation Estee Lauder, but they wanted to alter the peach streamer to pink, thus leaving rear to the unique dye primary used in 1991.",Estee Lauder,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00028,cheapcosthealthinsurance.com,"This is why October has developed into the chosen month for Breast Cancer consciousness, a point to lift consciousness between women (and not just women but everybody in common) concerning the illness.",Breast Cancer,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00029,cheapcosthealthinsurance.com,"What is primary health care with usual stopovers from our Austin eye physician or optometrist, we can be certain that are",Austin,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00030,cheapcosthealthinsurance.com,Fallacy is quite ordinary.,Fallacy,[NOUN],[NN],[nsubj]
clueweb12-0000tw-00-00030,cheapcosthealthinsurance.com,"If the Uterine Cancer illness has development, usually there is some Uterine Cancer operation down with chemo or radiotherapy.",Uterine Cancer,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00031,cheapcosthealthinsurance.com,One of the primary ordinary cancer types of blood tumor is Leukemia.,Leukemia,[PROPN],[NNP],[attr]
clueweb12-0000tw-00-00031,cheapcosthealthinsurance.com,There is a diversity of cancer types of Leukemia but all of them harm your aptitude to create healthy white blood cells.,Leukemia,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00031,cheapcosthealthinsurance.com,"As populace with Leukemia need white blood cells, characteristically the complication approach from an incapability to brawl disease against the cancer itself.",Leukemia,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00031,cheapcosthealthinsurance.com,Lymphoma is one more cancer types that populace get.,Lymphoma,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00031,cheapcosthealthinsurance.com,This is cancer types of the lymph organization which at times is referred to as Hodgkins lymphoma or Hodgkins illness.,Hodgkins,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00031,cheapcosthealthinsurance.com,A third cancer types is manifold Myeloma.,Myeloma,[PROPN],[NNP],[attr]
clueweb12-0000tw-00-00033,dailyreporter.info,(NYSE:,NYSE,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00033,dailyreporter.info,BAC ...,BAC,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00033,dailyreporter.info,"getting $47.1 million from bank settlement - CBS News February 10, 2012Tennessee to Receive $146 Million From Nationwide Mortgage Settlement - LoanSafe February 10, 2012Iowa's take of mortgage settlement:",CBS News,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00033,dailyreporter.info,"getting $47.1 million from bank settlement - CBS News February 10, 2012Tennessee to Receive $146 Million From Nationwide Mortgage Settlement - LoanSafe February 10, 2012Iowa's take of mortgage settlement:",2012Iowa,[PROPN],[NNP],[poss]
clueweb12-0000tw-00-00033,dailyreporter.info,In The SpotlightLocal Mortgage Lender Says National Settlement,The SpotlightLocal Mortgage Lender,"[DET, PROPN, PROPN, PROPN]","[DT, NNP, NNP, NNP]","[det, compound, compound, pobj]"
clueweb12-0000tw-00-00033,dailyreporter.info,(NYSE:,NYSE,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00033,dailyreporter.info,BAC ...,BAC,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00033,dailyreporter.info,"getting $47.1 million from bank settlement - CBS News February 10, 2012Tennessee to Receive $146 Million From Nationwide Mortgage Settlement - LoanSafe February 10, 2012Iowa's take of mortgage settlement:",CBS News,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00033,dailyreporter.info,"getting $47.1 million from bank settlement - CBS News February 10, 2012Tennessee to Receive $146 Million From Nationwide Mortgage Settlement - LoanSafe February 10, 2012Iowa's take of mortgage settlement:",2012Iowa,[PROPN],[NNP],[poss]
clueweb12-0000tw-00-00033,dailyreporter.info,"$40 million - DesMoinesRegister.com February 10, 2012$25 Billion Mortgage Agreement Doesn't Let Lenders Off Hook - BusinessWeek February 10, 2012Utah gets $171M in national mortgage settlement - CBS News February 10, 2012Lenders to pay homeowners in nationwide settlement - Orlando Sentinel February 10, 2012States and lenders reach settlement on foreclosure abuses - Rapid City Journal February 10, 2012Loan Terms Made to Order - New York Times February 9, 2012    ",CBS News,"[PROPN, PROPN]","[NNP, NNP]","[compound, dobj]"
clueweb12-0000tw-00-00033,dailyreporter.info,"Greece deal uncertain as ministers quit, violence eruptsUSA TODAYBy Nicholas Paphitis, AP ATHENS, Greece  ",Greece,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00033,dailyreporter.info,"Greece deal uncertain as ministers quit, violence eruptsUSA TODAYBy Nicholas Paphitis, AP ATHENS, Greece  ",Nicholas Paphitis,"[PROPN, PROPN]","[NNP, NNP]","[compound, dep]"
clueweb12-0000tw-00-00033,dailyreporter.info,"Greece deal uncertain as ministers quit, violence eruptsUSA TODAYBy Nicholas Paphitis, AP ATHENS, Greece  ",AP,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00033,dailyreporter.info,"Greece deal uncertain as ministers quit, violence eruptsUSA TODAYBy Nicholas Paphitis, AP ATHENS, Greece  ",ATHENS,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00033,dailyreporter.info,Greece's future in the euro grew increasingly precarious Friday as violence erupted on the streets of Athens during a general strike.,Greece,[PROPN],[NNP],[poss]
clueweb12-0000tw-00-00033,dailyreporter.info,Greece's future in the euro grew increasingly precarious Friday as violence erupted on the streets of Athens during a general strike.,Athens,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00033,dailyreporter.info,"Five politicians resigned from the government after European leaders Greece caught between protests, austerity demands",Greece,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00033,dailyreporter.info,"Banks pay delinquent borrowers $35000 to sell their homesCNNBy Les Christie @CNNMoney February 10, 2012: 11:02 AM ET NEW YORK (CNNMoney)  ",Les Christie,"[PROPN, PROPN]","[NNP, NNP]","[compound, dobj]"
clueweb12-0000tw-00-00033,dailyreporter.info,Mo.,Mo.,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00033,dailyreporter.info,settlementBusinessWeek$25 Billion Mortgage Agreement Doesn't Let US BanksBloombergWhat the $25 Billion Mortgage Settlement Means to YouLoanSafeThomson Reuters News & Insight-Zacks.com-,Reuters News & Insight,"[PROPN, PROPN, CCONJ, PROPN]","[NNP, NNP, CC, NNP]","[compound, pobj, cc, compound]"
clueweb12-0000tw-00-00033,dailyreporter.info,"San Antonio Expressall 3,494 news articles",San Antonio,"[PROPN, PROPN]","[NNP, NNP]","[compound, compound]"
clueweb12-0000tw-00-00033,dailyreporter.info,Stocks fall on Greek deal holdupUSA TODAYNEW YORK,holdupUSA TODAYNEW YORK,"[PROPN, PROPN, PROPN]","[NNP, NNP, NNP]","[compound, compound, pobj]"
clueweb12-0000tw-00-00033,dailyreporter.info,(AP)  ,AP,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00033,dailyreporter.info,"US stocks fell sharply Friday after Greece's bailout deal was put on hold, a day after it seemed that the country had satisfied its creditors.",US,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00033,dailyreporter.info,"US stocks fell sharply Friday after Greece's bailout deal was put on hold, a day after it seemed that the country had satisfied its creditors.",Greece,[PROPN],[NNP],[poss]
clueweb12-0000tw-00-00033,dailyreporter.info,"By Richard Drew, AP Traders working on the floor of the New York Stock Exchange on Feb.",Richard Drew,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00033,dailyreporter.info,"By Richard Drew, AP Traders working on the floor of the New York Stock Exchange on Feb.",AP,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00033,dailyreporter.info,"By Richard Drew, AP Traders working on the floor of the New York Stock Exchange on Feb.",the New York Stock Exchange,"[DET, PROPN, PROPN, PROPN, PROPN]","[DT, NNP, NNP, NNP, NNP]","[det, compound, compound, compound, pobj]"
clueweb12-0000tw-00-00033,dailyreporter.info,"Greek Anxiety, Weak Data Knock Stocks",Greek Anxiety,"[PROPN, PROPN]","[NNP, NNP]","[compound, nsubj]"
clueweb12-0000tw-00-00033,dailyreporter.info,"Greek Anxiety, Weak Data Knock Stocks",Weak Data Knock,"[PROPN, PROPN, PROPN]","[NNP, NNPS, NNP]","[compound, nsubj, ROOT]"
clueweb12-0000tw-00-00033,dailyreporter.info,"Sharply LowerFox BusinessUS Stocks Slump on Greece Woes, DataWall Street JournalStocks fall sharply as Greek deal is held up",Slump,[VERB],[VB],[ROOT]
clueweb12-0000tw-00-00033,dailyreporter.info,"Sharply LowerFox BusinessUS Stocks Slump on Greece Woes, DataWall Street JournalStocks fall sharply as Greek deal is held up",Greece,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00033,dailyreporter.info,"Sharply LowerFox BusinessUS Stocks Slump on Greece Woes, DataWall Street JournalStocks fall sharply as Greek deal is held up",DataWall Street JournalStocks,"[PROPN, PROPN, PROPN]","[NNP, NNP, NNP]","[compound, compound, nsubj]"
clueweb12-0000tw-00-00033,dailyreporter.info, Trending TopicsThe Arrowhead:,TopicsThe Arrowhead,"[PROPN, PROPN]","[NNP, NNP]","[compound, ROOT]"
clueweb12-0000tw-00-00033,dailyreporter.info,"- Fox Business February 10, 2012Student Loans chief's tax deal 'was approved by top civil servant' - The Guardian February 10, 2012SF Indie Fest - Default: The Student Loan Documentary - Beyond Chron February 10, 2012Student loan debt: Next big bubble to burst - ABC30.com",Indie Fest - Default: The Student Loan Documentary - Beyond,"[PROPN, PROPN, PUNCT, DET, PROPN, PROPN, PROPN, PUNCT, PROPN]","[NNP, NNP, HYPH, DT, NNP, NNP, NNP, HYPH, NNP]","[compound, compound, punct, det, compound, compound, intj, punct, intj]"
clueweb12-0000tw-00-00033,dailyreporter.info,"Science Fairs, Student Loans and More Education News - TIME February 9, 2012S&P says student loan debt could be next financial bubble - Los Angeles Times February 9, 2012Interest rates for common student loan could double this summer - Ball State Daily News February 9, 2012    ",Science Fairs,"[PROPN, PROPN]","[NNP, NNP]","[compound, nsubj]"
clueweb12-0000tw-00-00033,dailyreporter.info,"Science Fairs, Student Loans and More Education News - TIME February 9, 2012S&P says student loan debt could be next financial bubble - Los Angeles Times February 9, 2012Interest rates for common student loan could double this summer - Ball State Daily News February 9, 2012    ",Student Loans,"[NOUN, PROPN]","[NN, NNPS]","[compound, conj]"
